unit,sex,age,region,year,value
YR,M,Y21,PT,2020,57.4
YR,F,Y57,PT,2020,28.8
YR,M,Y41,PT,2020,38.1
YR,T,Y45,PT,2020,37.3
YR,T,Y48,PT,2020,34.5
YR,F,Y37,PT,2020,47.7
YR,F,Y32,PT,2020,52.6
YR,M,Y21,PT,2019,58.2
YR,F,Y57,PT,2019,29.5
YR,M,Y41,PT,2019,38.9
YR,T,Y45,PT,2019,38.0
YR,T,Y48,PT,2019,35.3
YR,F,Y37,PT,2019,48.5
YR,F,Y32,PT,2019,53.3
YR,M,Y21,PT,2018,57.8
YR,F,Y57,PT,2018,29.2
YR,M,Y41,PT,2018,38.5
YR,T,Y45,PT,2018,37.7
YR,T,Y48,PT,2018,35.0
YR,F,Y37,PT,2018,48.2
YR,F,Y32,PT,2018,53.1
YR,M,Y21,PT,2017,57.9
YR,F,Y57,PT,2017,29.3
YR,M,Y41,PT,2017,38.6
YR,T,Y45,PT,2017,37.8
YR,T,Y48,PT,2017,35.0
YR,F,Y37,PT,2017,48.2
YR,F,Y32,PT,2017,53.1
YR,M,Y21,PT,2016,57.6
YR,F,Y57,PT,2016,29.0
YR,M,Y41,PT,2016,38.3
YR,T,Y45,PT,2016,37.5
YR,T,Y48,PT,2016,34.7
YR,F,Y37,PT,2016,47.9
YR,F,Y32,PT,2016,52.8
YR,M,Y21,PT,2015,57.6
YR,F,Y57,PT,2015,28.9
YR,M,Y41,PT,2015,38.3
YR,T,Y45,PT,2015,37.5
YR,T,Y48,PT,2015,34.7
YR,F,Y37,PT,2015,47.8
YR,F,Y32,PT,2015,52.8
YR,M,Y21,PT,2014,57.5
YR,F,Y57,PT,2014,29.2
YR,M,Y41,PT,2014,38.3
YR,T,Y45,PT,2014,37.6
YR,T,Y48,PT,2014,34.8
YR,F,Y37,PT,2014,48.1
YR,F,Y32,PT,2014,52.9
YR,M,Y21,PT,2013,57.1
YR,F,Y57,PT,2013,28.8
YR,M,Y41,PT,2013,37.9
YR,T,Y45,PT,2013,37.2
YR,T,Y48,PT,2013,34.5
YR,F,Y37,PT,2013,47.7
YR,F,Y32,PT,2013,52.6
YR,M,Y21,PT,2012,56.9
YR,F,Y57,PT,2012,28.5
YR,M,Y41,PT,2012,37.7
YR,T,Y45,PT,2012,37.0
YR,T,Y48,PT,2012,34.2
YR,F,Y37,PT,2012,47.3
YR,F,Y32,PT,2012,52.2
YR,M,Y21,PT,2011,56.9
YR,F,Y57,PT,2011,28.7
YR,M,Y41,PT,2011,37.8
YR,T,Y45,PT,2011,37.1
YR,T,Y48,PT,2011,34.4
YR,F,Y37,PT,2011,47.5
YR,F,Y32,PT,2011,52.4
YR,M,Y21,PT,2010,56.3
YR,F,Y57,PT,2010,28.2
YR,M,Y41,PT,2010,37.3
YR,T,Y45,PT,2010,36.6
YR,T,Y48,PT,2010,33.9
YR,F,Y37,PT,2010,47.0
YR,F,Y32,PT,2010,51.8
YR,M,Y21,PT,2009,56.2
YR,F,Y57,PT,2009,27.9
YR,M,Y41,PT,2009,37.2
YR,T,Y45,PT,2009,36.4
YR,T,Y48,PT,2009,33.7
YR,F,Y37,PT,2009,46.6
YR,F,Y32,PT,2009,51.5
YR,M,Y21,PT,2008,55.8
YR,F,Y57,PT,2008,27.7
YR,M,Y41,PT,2008,36.9
YR,T,Y45,PT,2008,36.2
YR,T,Y48,PT,2008,33.5
YR,F,Y37,PT,2008,46.5
YR,F,Y32,PT,2008,51.4
YR,M,Y21,PT,2007,55.5
YR,F,Y57,PT,2007,27.6
YR,M,Y41,PT,2007,36.7
YR,T,Y45,PT,2007,36.0
YR,T,Y48,PT,2007,33.3
YR,F,Y37,PT,2007,46.3
YR,F,Y32,PT,2007,51.2
YR,M,Y21,PT,2006,55.2
YR,F,Y57,PT,2006,27.5
YR,M,Y41,PT,2006,36.5
YR,T,Y45,PT,2006,35.9
YR,T,Y48,PT,2006,33.2
YR,F,Y37,PT,2006,46.3
YR,F,Y32,PT,2006,51.2
YR,M,Y21,PT,2005,54.6
